,network name,epochs,validation accuracy,loss,test accuracy
0,lenet,1.0,86.5,1.5124479532241821,0.936
1,lenet,2.0,93.3,1.0373519659042358,0.936
2,lenet,3.0,95.2,0.8158985376358032,0.936
3,lenet,4.0,96.1,0.7237451076507568,0.936
4,lenet,5.0,97.1,0.6056121587753296,0.936
5,lenet,6.0,97.6,0.5690716505050659,0.936
6,lenet,7.0,97.7,0.529529333114624,0.936
7,lenet,8.0,97.6,0.5218296051025391,0.936
8,lenet,9.0,97.7,0.5072623491287231,0.936
9,lenet,10.0,97.7,0.48902690410614014,0.936
10,lenet,11.0,97.9,0.4540267586708069,0.936
11,lenet,12.0,98.2,0.4267140030860901,0.936
12,lenet,13.0,97.3,0.416866660118103,0.936
13,lenet,14.0,97.9,0.3727673292160034,0.936
14,lenet,15.0,97.9,0.33417809009552,0.936
15,lenet,16.0,98.3,0.33323949575424194,0.936
16,lenet,17.0,98.0,0.3172796964645386,0.936
17,lenet,18.0,97.9,0.3451414108276367,0.936
18,lenet,19.0,98.3,0.3553771376609802,0.936
19,lenet,20.0,97.8,0.3222203254699707,0.936
20,lenet,21.0,98.1,0.3941575288772583,0.936
21,lenet,22.0,98.5,0.34698694944381714,0.936
22,lenet,23.0,98.6,0.3504332900047302,0.936
23,lenet,24.0,97.9,0.397347629070282,0.936
24,lenet,25.0,98.5,0.39571309089660645,0.936
25,lenet,26.0,98.0,0.29021215438842773,0.936
26,lenet,27.0,98.3,0.26574668288230896,0.936
27,lenet,28.0,98.3,0.3129492700099945,0.936
28,lenet,29.0,98.4,0.337494432926178,0.936
29,lenet,30.0,98.7,0.25760364532470703,0.936
30,lenet,31.0,98.7,0.27745965123176575,0.936
31,lenet,32.0,98.3,0.2843557596206665,0.936
32,lenet,33.0,98.8,0.23510140180587769,0.936
33,lenet,34.0,98.5,0.31335437297821045,0.936
34,lenet,35.0,98.3,0.33144932985305786,0.936
35,lenet,36.0,98.4,0.29457205533981323,0.936
36,lenet,37.0,98.6,0.3140619993209839,0.936
37,lenet,38.0,99.0,0.24991977214813232,0.936
38,lenet,39.0,98.8,0.25473421812057495,0.936
39,lenet,40.0,97.9,0.30727243423461914,0.936
40,lenet,41.0,98.9,0.31120017170906067,0.936
41,lenet,42.0,98.5,0.38473641872406006,0.936
42,lenet,43.0,98.7,0.3365058898925781,0.936
43,lenet,44.0,98.2,0.23715081810951233,0.936
44,lenet,45.0,98.5,0.2700193226337433,0.936
45,lenet,46.0,98.8,0.31240421533584595,0.936
46,lenet,47.0,98.8,0.26891982555389404,0.936
47,lenet,48.0,98.6,0.41094595193862915,0.936
48,lenet,49.0,98.6,0.294600248336792,0.936
49,lenet,50.0,98.5,0.38423842191696167,0.936
50,lenet,51.0,98.7,0.3596242666244507,0.936
51,lenet,52.0,98.8,0.26904016733169556,0.936
52,lenet,53.0,98.6,0.36677929759025574,0.936
53,lenet,54.0,98.7,0.27165156602859497,0.936
54,lenet,55.0,98.7,0.31164300441741943,0.936
55,lenet,56.0,98.8,0.22772188484668732,0.936
56,lenet,57.0,98.9,0.2112402617931366,0.936
57,lenet,58.0,98.7,0.31757476925849915,0.936
58,lenet,59.0,98.8,0.3340688943862915,0.936
59,lenet,60.0,98.8,0.35544469952583313,0.936
60,lenet,61.0,98.9,0.25505754351615906,0.936
61,lenet,62.0,98.3,0.47883540391921997,0.936
62,lenet,63.0,99.0,0.3054135739803314,0.936
63,lenet,64.0,98.9,0.24894116818904877,0.936
64,lenet,65.0,99.0,0.3444441556930542,0.936
65,lenet,66.0,98.8,0.3245658874511719,0.936
66,lenet,67.0,98.8,0.3306475281715393,0.936
67,lenet,68.0,99.0,0.2907223701477051,0.936
68,lenet,69.0,98.8,0.4028342366218567,0.936
69,lenet,70.0,99.1,0.3580292761325836,0.936
70,lenet,71.0,98.9,0.36893004179000854,0.936
71,lenet,72.0,99.2,0.3528251349925995,0.936
72,lenet,73.0,99.0,0.34361517429351807,0.936
73,lenet,74.0,98.5,0.29224056005477905,0.936
74,lenet,75.0,98.3,0.32611557841300964,0.936
75,lenet,76.0,98.0,0.34619244933128357,0.936
76,lenet,77.0,98.7,0.283088743686676,0.936
77,lenet,78.0,98.1,0.24715089797973633,0.936
78,lenet,79.0,98.9,0.2819123864173889,0.936
79,lenet,80.0,99.0,0.33191362023353577,0.936
80,lenet,81.0,98.9,0.30030399560928345,0.936
81,lenet,82.0,98.7,0.29068294167518616,0.936
82,lenet,83.0,98.6,0.42102640867233276,0.936
83,lenet,84.0,99.0,0.25954219698905945,0.936
84,lenet,85.0,99.1,0.28090614080429077,0.936
85,lenet,86.0,98.9,0.29863470792770386,0.936
86,lenet,87.0,98.9,0.4139105975627899,0.936
87,lenet,88.0,98.8,0.3207358419895172,0.936
88,lenet,89.0,99.0,0.3822745680809021,0.936
89,lenet,90.0,98.5,0.34789174795150757,0.936
90,lenet,91.0,98.5,0.4331513047218323,0.936
91,lenet,92.0,98.6,0.27568966150283813,0.936
92,lenet,93.0,98.9,0.3181321918964386,0.936
93,lenet,94.0,98.7,0.3334774971008301,0.936
94,lenet,95.0,98.8,0.335517019033432,0.936
95,lenet,96.0,98.6,0.36129292845726013,0.936
96,lenet,97.0,98.9,0.26047125458717346,0.936
97,lenet,98.0,98.9,0.27108994126319885,0.936
98,lenet,99.0,98.8,0.3363017141819,0.936
99,lenet,100.0,99.0,0.34059786796569824,0.936
100,lenet,101.0,98.9,0.3994840681552887,0.936
101,lenet,102.0,98.6,0.33429041504859924,0.936
102,lenet,103.0,98.6,0.31495580077171326,0.936
103,lenet,104.0,98.8,0.2864433526992798,0.936
104,lenet,105.0,98.9,0.32826119661331177,0.936
105,lenet,106.0,99.0,0.3070022761821747,0.936
106,lenet,107.0,98.5,0.2591259777545929,0.936
107,lenet,108.0,98.9,0.3291296362876892,0.936
108,lenet,109.0,98.9,0.42295172810554504,0.936
109,lenet,110.0,99.1,0.38392317295074463,0.936
110,lenet,111.0,98.9,0.36955633759498596,0.936
111,lenet,112.0,99.0,0.3095044195652008,0.936
112,lenet,113.0,98.8,0.32463338971138,0.936
113,lenet,114.0,99.2,0.2875197231769562,0.936
114,lenet,115.0,98.9,0.40665939450263977,0.936
115,lenet,116.0,98.7,0.21370482444763184,0.936
116,lenet,117.0,98.7,0.2694880962371826,0.936
117,lenet,118.0,98.8,0.3223295211791992,0.936
118,lenet,119.0,98.9,0.3169340491294861,0.936
119,lenet,120.0,99.1,0.2843574583530426,0.936
120,lenet,121.0,99.1,0.21239981055259705,0.936
121,lenet,122.0,99.1,0.2555427551269531,0.936
122,lenet,123.0,98.8,0.31438666582107544,0.936
123,lenet,124.0,98.8,0.27387434244155884,0.936
124,lenet,125.0,98.9,0.20653724670410156,0.936
125,lenet,126.0,98.9,0.22986578941345215,0.936
126,lenet,127.0,99.0,0.3715786039829254,0.936
127,lenet,128.0,99.0,0.3575054705142975,0.936
128,lenet,129.0,98.9,0.27751487493515015,0.936
129,lenet,130.0,99.1,0.3917918801307678,0.936
130,lenet,131.0,98.8,0.24764728546142578,0.936
131,lenet,132.0,98.9,0.170964315533638,0.936
132,lenet,133.0,98.8,0.19763511419296265,0.936
133,lenet,134.0,98.6,0.19449597597122192,0.936
134,lenet,135.0,98.6,0.3455595374107361,0.936
135,lenet,136.0,99.0,0.25469279289245605,0.936
136,lenet,137.0,99.0,0.2135392725467682,0.936
137,lenet,138.0,98.7,0.2867988646030426,0.936
138,lenet,139.0,98.3,0.2787528336048126,0.936
139,lenet,140.0,98.6,0.44011664390563965,0.936
140,lenet,141.0,98.7,0.24992120265960693,0.936
141,lenet,142.0,99.1,0.2823246419429779,0.936
142,lenet,143.0,99.0,0.23542329668998718,0.936
143,lenet,144.0,98.0,0.2636076807975769,0.936
144,lenet,145.0,98.8,0.28813403844833374,0.936
145,lenet,146.0,99.0,0.21662721037864685,0.936
146,lenet,147.0,99.2,0.29318177700042725,0.936
147,lenet,148.0,98.9,0.36263829469680786,0.936
148,lenet,149.0,98.8,0.28392523527145386,0.936
149,lenet,150.0,98.9,0.32674235105514526,0.936
